PC	covar	n	r	p
PC157	SMTSISCH	1301	0.041720237157016705	0.13257329213347704
PC158	SMRIN	1301	-0.004442160571430425	0.8728237717413585
PC158	SMTSISCH	1301	0.028004275603721318	0.3128193661169927
PC159	SMRIN	1301	0.0021256840001345444	0.9389429631825525
PC159	SMTSISCH	1301	0.030246092397164966	0.27564333888964376
PC160	SMRIN	1301	-0.01444218869414152	0.6027519354838184
PC160	SMTSISCH	1301	0.006227786920248608	0.822431558543109
PC161	SMRIN	1301	-0.03742421849045386	0.177323051105358
PC161	SMTSISCH	1301	-0.007929756590606326	0.7750688812139708
PC162	SMRIN	1301	0.03204650393349547	0.2480564213322321
PC162	SMTSISCH	1301	0.0014195923574476484	0.9592023123096336
PC163	SMRIN	1301	0.01389353744340769	0.6166007755340677
PC163	SMTSISCH	1301	0.011951024739363518	0.6667104789403149
PC164	SMRIN	1301	-0.0010250691804981483	0.9705343793141514
PC164	SMTSISCH	1301	-0.007772742904283801	0.7794063524852965
PC165	SMRIN	1301	-0.0013379095060502414	0.9615479255418806
PC165	SMTSISCH	1301	7.218304653551776e-4	0.9792486025057379
PC166	SMRIN	1301	-0.02626370516274784	0.3438588593250488
PC166	SMTSISCH	1301	0.03380542148522819	0.22302767372012727
PC167	SMRIN	1301	-0.006707735804889737	0.8090017712031887
PC167	SMTSISCH	1301	-0.016356000603606813	0.555577475794653
PC168	SMRIN	1301	-0.011742992407482644	0.6721713215835374
PC168	SMTSISCH	1301	-0.004012088637074993	0.8850464214154035
PC169	SMRIN	1301	-0.01669505975175637	0.5474114579162863
PC169	SMTSISCH	1301	0.020881737700046105	0.4517207648035848
PC170	SMRIN	1301	0.03651339155896143	0.1881108652206982
PC170	SMTSISCH	1301	0.008268420901632993	0.7657373443383669
PC171	SMRIN	1301	-0.004355816045879634	0.8752753490671029
PC171	SMTSISCH	1301	0.032570998701488024	0.24039587858979078
PC172	SMRIN	1301	0.03083105455107834	0.26645981730096857
PC172	SMTSISCH	1301	0.027611096401903266	0.3196645377928042
PC173	SMRIN	1301	0.007044896496406445	0.7996006817683083
PC173	SMTSISCH	1301	-0.007681176040828915	0.781939048927497
PC174	SMRIN	1301	-0.026615268404386588	0.3374361839733174
PC174	SMTSISCH	1301	-0.0017148875439593886	0.950725674914381
PC175	SMRIN	1301	-0.002142892621757517	0.9384496483113203
PC175	SMTSISCH	1301	0.004970531260057545	0.8578491762509536
PC176	SMRIN	1301	-0.018523567884053096	0.5044217705227692
PC176	SMTSISCH	1301	-0.0052518469290858795	0.8498968268673596
PC177	SMRIN	1301	-0.007246777826574427	0.7939853609601821
PC177	SMTSISCH	1301	-0.01803503727964237	0.5157308887880051
PC178	SMRIN	1301	0.03099861604443706	0.2638684093397534
PC178	SMTSISCH	1301	-0.04132915320709059	0.13624513793775025
PC179	SMRIN	1301	0.04995229224878432	0.071680711941921
PC179	SMTSISCH	1301	0.03652577322328538	0.18796104452314794
PC180	SMRIN	1301	1.3055769072580747e-4	0.9962462796557912
PC180	SMTSISCH	1301	0.00852128946498283	0.7587918101793266
PC181	SMRIN	1301	-0.004592668123438381	0.8685533444264264
PC181	SMTSISCH	1301	0.002167759157500475	0.937736847829503
PC182	SMRIN	1301	0.009186607984601856	0.7406114689115273
PC182	SMTSISCH	1301	-0.0017913587741586624	0.9485313881196277
PC183	SMRIN	1301	0.026711783846157397	0.33568651259366045
PC183	SMTSISCH	1301	-2.1227585833780506e-5	0.9993896743562309
PC184	SMRIN	1301	-0.022987825742773856	0.40740492464326383
PC184	SMTSISCH	1301	-0.01339921440350805	0.6291962539580231
PC185	SMRIN	1301	0.08475577555468931	0.0022159118294205736
PC185	SMTSISCH	1301	-0.03684219715301023	0.18416203999234193
PC186	SMRIN	1301	0.030791956116666155	0.26706699924464056
PC186	SMTSISCH	1301	0.022813195433726976	0.4109779845738808
PC187	SMRIN	1301	-0.02544012287796583	0.3592077486519134
PC187	SMTSISCH	1301	0.017179287696177683	0.5358529333835479
